method,category,time_step,auprc,recall,precision,f1,avg_prob,num_illicit,total_tx,strategy,tp,fn,fp,fraud_loss,friction_cost,total_cost
Static_LR,Static,40,0.4139575660832513,0.8214285714285714,0.21149425287356322,0.33638025594149906,0.3330486658253968,112,1211,,92,20,343,200000.0,34300.0,234300.0
Static_DT,Static,40,0.6619647333901117,0.7232142857142857,0.42857142857142855,0.5382059800664452,0.16539561067066774,112,1211,,81,31,108,310000.0,10800.0,320800.0
Static_KNN,Static,40,0.5911784497369194,0.48214285714285715,0.7397260273972602,0.5837837837837838,0.08269752176868098,112,1211,,54,58,19,580000.0,1900.0,581900.0
Static_RF,Static,40,0.7400927026389174,0.6696428571428571,0.5136986301369864,0.5813953488372093,0.16693387496012083,112,1211,,75,37,71,370000.0,7100.0,377100.0
Static_XGBoost,Static,40,0.7357787524051387,0.6785714285714286,0.5757575757575758,0.6229508196721312,0.26056402921676636,112,1211,,76,36,56,360000.0,5600.0,365600.0
Static_LightGBM,Static,40,0.7340551681128206,0.6517857142857143,0.7087378640776699,0.6790697674418604,0.10028507344447794,112,1211,,73,39,30,390000.0,3000.0,393000.0
Static_LR,Static,41,0.3325975446834311,0.9655172413793104,0.21132075471698114,0.34674922600619196,0.4164310514817322,116,1132,,112,4,418,40000.0,41800.0,81800.0
Static_DT,Static,41,0.7934182156425801,0.8620689655172413,0.5555555555555556,0.6756756756756757,0.16278361350640325,116,1132,,100,16,80,160000.0,8000.0,168000.0
Static_KNN,Static,41,0.8788140858789296,0.8017241379310345,0.8691588785046729,0.8340807174887892,0.11532599526705822,116,1132,,93,23,14,230000.0,1400.0,231400.0
Static_RF,Static,41,0.9398410336695987,0.9310344827586207,0.7297297297297297,0.8181818181818182,0.1628925737734615,116,1132,,108,8,40,80000.0,4000.0,84000.0
Static_XGBoost,Static,41,0.9569091553738122,0.9396551724137931,0.7266666666666667,0.8195488721804511,0.2642807066440582,116,1132,,109,7,41,70000.0,4100.0,74100.0
Static_LightGBM,Static,41,0.946986491274524,0.9224137931034483,0.7985074626865671,0.856,0.12490945359448961,116,1132,,107,9,27,90000.0,2700.0,92700.0
Static_LR,Static,42,0.5286805706374357,0.9288702928870293,0.3070539419087137,0.46153846153846156,0.3347800284392408,239,2154,,222,17,501,170000.0,50100.0,220100.0
Static_DT,Static,42,0.8507424731107621,0.8326359832635983,0.603030303030303,0.6994727592267135,0.16034265974875286,239,2154,,199,40,131,400000.0,13100.0,413100.0
Static_KNN,Static,42,0.7696616776683424,0.6820083682008368,0.8316326530612245,0.7494252873563219,0.10723493810692,239,2154,,163,76,33,760000.0,3300.0,763300.0
Static_RF,Static,42,0.8876738994956485,0.8158995815899581,0.7442748091603053,0.7784431137724551,0.1567997161584761,239,2154,,195,44,67,440000.0,6700.0,446700.0
