feature,chi2_rank,rfe_rank,shap_rank,borda_score,ensemble_rank
feat_53,1,1,1,492,1
feat_89,4,1,6,484,2
feat_59,10,1,2,482,3
feat_90,2,1,15,477,4
feat_52,5,1,16,473,5
feat_125,26,5,9,455,6
feat_47,31,1,10,453,7
feat_23,22,1,19,453,8
feat_29,23,1,22,449,9
feat_142,24,3,20,448,10
feat_49,35,1,12,447,11
feat_79,32,2,17,444,12
feat_25,27,2,23,443,13
feat_60,15,1,36,443,14
feat_91,7,4,47,437,15
feat_46,40,1,18,436,16
feat_55,3,1,58,433,17
feat_22,36,1,29,429,18
feat_77,30,5,39,421,19
feat_127,48,2,24,421,20
feat_80,44,3,30,418,21
feat_43,50,1,26,418,22
feat_58,72,1,4,418,23
feat_41,38,1,41,415,24
feat_20,39,7,34,415,25
feat_83,18,4,59,414,26
feat_76,76,3,7,409,27
feat_154,25,2,61,407,28
feat_4,75,3,11,406,29
feat_150,9,13,68,405,30
feat_65,12,1,83,399,31
feat_132,85,1,13,396,32
feat_107,52,9,38,396,33
feat_155,29,9,62,395,34
feat_138,49,5,46,395,35
feat_114,8,8,89,390,36
feat_112,17,11,80,387,37
feat_158,80,3,25,387,38
feat_40,34,2,77,382,39
feat_148,21,12,81,381,40
feat_67,14,2,101,378,41
feat_115,56,11,51,377,42
feat_124,62,2,55,376,43
feat_103,69,5,50,371,44
feat_144,51,7,67,370,45
feat_106,77,8,43,367,46
feat_3,94,6,28,367,47
feat_161,120,2,8,365,48
feat_2,126,1,5,363,49
feat_163,117,1,14,363,50
feat_100,109,3,21,362,51
feat_61,13,3,117,362,52
feat_5,130,1,3,361,53
feat_12,96,13,27,359,54
feat_1,89,7,42,357,55
feat_88,90,4,49,352,56
feat_156,11,5,129,350,57
feat_141,66,12,70,347,58
feat_8,110,1,37,347,59
feat_130,111,6,31,347,60
feat_24,47,10,93,345,61
feat_126,53,15,82,345,62
feat_78,33,3,115,344,63
feat_92,43,11,99,342,64
feat_84,20,4,132,339,65
feat_54,6,9,142,338,66
feat_17,98,7,52,338,67
feat_9,101,4,53,337,68
feat_95,65,6,87,337,69
feat_35,74,9,76,336,70
feat_37,83,10,66,336,71
feat_64,71,4,85,335,72
feat_119,78,11,72,334,73
feat_66,16,1,144,334,74
feat_62,93,12,57,333,75
feat_85,19,2,141,333,76
feat_102,70,9,84,332,77
feat_101,64,3,97,331,78
feat_120,108,13,44,330,79
feat_42,67,7,91,330,80
feat_109,63,7,98,327,81
feat_131,95,10,63,327,82
feat_16,122,4,45,324,83
feat_146,128,9,35,323,84
feat_74,55,8,110,322,85
feat_18,99,1,73,322,86
feat_94,103,6,64,322,87
feat_96,61,7,106,321,88
feat_86,58,8,109,320,89
feat_93,41,14,122,318,90
feat_48,54,5,123,313,91
feat_164,105,9,71,310,92
feat_133,115,6,65,309,93
feat_73,149,6,33,307,94
feat_151,91,11,86,307,95
feat_98,143,14,32,306,96
feat_97,81,6,105,303,97
feat_31,28,4,161,302,98
feat_21,42,12,139,302,99
feat_143,73,8,113,301,100
feat_34,88,14,95,298,101
feat_108,60,12,125,298,102
feat_99,148,10,40,297,103
feat_28,37,3,159,296,104
feat_157,116,8,75,296,105
feat_6,84,5,112,294,106
feat_72,136,6,60,293,107
feat_81,45,8,152,290,108
feat_137,153,4,48,290,109
feat_13,107,11,90,287,110
feat_139,144,10,56,285,111
feat_71,135,7,69,284,112
feat_19,102,7,103,283,113
feat_152,152,8,54,281,114
feat_26,121,15,79,280,115
feat_27,124,14,78,279,116
feat_30,46,8,163,278,117
feat_11,104,6,107,278,118
feat_82,79,5,135,276,119
feat_159,82,4,133,276,120
feat_145,140,7,74,274,121
feat_69,86,11,128,270,122
feat_87,59,12,155,269,123
feat_149,123,13,94,265,124
feat_121,118,10,104,263,125
feat_162,100,13,121,261,126
feat_75,57,13,164,261,127
feat_136,138,2,96,259,128
feat_140,68,15,153,259,129
feat_63,87,12,143,253,130
feat_134,113,8,124,250,131
feat_165,106,10,131,248,132
feat_10,114,5,130,246,133
feat_135,112,13,126,244,134
feat_68,92,13,148,242,135
feat_57,142,14,102,237,136
feat_70,97,15,146,237,137
feat_122,159,12,92,232,138
feat_45,137,12,114,232,139
feat_110,162,14,88,231,140
feat_56,141,9,118,227,141
feat_44,145,11,116,223,142
feat_51,139,15,119,222,143
feat_7,127,15,137,216,144
feat_38,164,15,100,216,145
feat_104,163,9,108,215,146
feat_129,155,14,111,215,147
feat_160,134,5,145,211,148
feat_118,133,14,138,210,149
feat_147,129,6,151,209,150
feat_32,119,12,158,206,151
feat_33,125,11,157,202,152
feat_111,160,13,120,202,153
feat_113,150,9,136,200,154
feat_14,131,1,165,198,155
feat_128,156,10,134,195,156
feat_36,132,15,156,192,157
feat_39,165,14,127,189,158
feat_153,151,10,147,187,159
feat_50,147,13,150,185,160
feat_105,161,11,140,183,161
feat_15,146,15,154,180,162
feat_117,158,10,149,178,163
feat_123,154,14,160,167,164
feat_116,157,15,162,161,165
