method,auprc,recall,precision,f1,total_cost,avg_cost_k
InContext_Proposed_Both,0.5267266202649157,0.7417626079934909,0.42703264974339,0.4672786119996477,146820.0,146.82
Continuous_Retraining_LGBM,0.49034836554224775,0.44794761619534385,0.4912519660853564,0.4471997158171135,198460.0,198.46
InContext_Recency_Only,0.4799502931612668,0.48463947136721625,0.5215332575026431,0.4540431345296502,199690.0,199.69
InContext_Random,0.3508370090646201,0.32913951748246945,0.24862234579038578,0.2665869206501563,270580.0,270.58
Static_XGBoost,0.33600006160487644,0.3053173801622799,0.22194335192532538,0.23922253671604704,254770.0,254.77
Static_LightGBM,0.31916363006496645,0.2962000862240727,0.2538954863965147,0.2551527117084894,266490.0,266.49
Static_RF,0.30943571374293644,0.2993957873872388,0.2091054068328201,0.22893372400076015,258860.0,258.86
Static_KNN,0.2858078396083884,0.2549208696608062,0.26063338854937695,0.24220843091768401,325040.0,325.04
Static_DT,0.2650788825474245,0.310799859957449,0.18321622265881274,0.21446517760185171,250450.0,250.45
Static_LR,0.19605768667284562,0.7078225918104724,0.13564185163410164,0.20360874111125188,153350.0,153.35
InContext_Similarity_Only,0.10037297177401054,0.19911585973301454,0.08628231467214517,0.04768550446955117,583780.0,583.78
